cdl,state,cdl_a,cdl_b,plant_begin_a,plant_begin_active_begin_a,plant_begin_active_end_a,plant_end_a,harvest_begin_a,harvest_begin_active_begin_a,harvest_begin_active_end_a,harvest_end_a,plant_begin_b,plant_begin_active_begin_b,plant_begin_active_end_b,plant_end_b,harvest_begin_b,harvest_begin_active_begin_b,harvest_begin_active_end_b,harvest_end_b
29,OK,,,19-Apr,1-May,21-May,5-Jun,22-Jun,7-Jul,19-Jul,1-Aug,,,,,,,,
29,OR,,,16-Apr,23-Apr,9-May,23-May,10-Jun,22-Jun,7-Jul,24-Jul,,,,,,,,
29,PA,,,21-Apr,5-May,16-May,1-Jun,9-Jun,19-Jun,8-Jul,21-Jul,,,,,,,,
29,RI,,,20-Apr,30-Apr,10-May,23-May,9-Jun,20-Jun,27-Jun,7-Jul,,,,,,,,
29,SC,,,18-Apr,1-May,15-May,26-May,5-Jun,12-Jun,19-Jun,1-Jul,,,,,,,,
29,SD,,,10-Apr,28-Apr,6-May,17-May,30-May,14-Jun,27-Jun,8-Jul,,,,,,,,
29,TN,,,10-Apr,22-Apr,30-Apr,10-May,24-May,4-Jun,14-Jun,3-Jul,,,,,,,,
29,TX,,,8-Apr,15-Apr,23-Apr,30-Apr,20-May,3-Jun,11-Jun,22-Jun,,,,,,,,
29,UT,,,18-Apr,7-May,21-May,29-May,18-Jun,6-Jul,14-Jul,30-Jul,,,,,,,,
29,VT,,,20-Apr,1-May,21-May,31-May,12-Jun,28-Jun,8-Jul,15-Jul,,,,,,,,
29,VA,,,21-Apr,6-May,19-May,30-May,9-Jun,24-Jun,7-Jul,15-Jul,,,,,,,,
29,WA,,,20-Apr,2-May,11-May,27-May,9-Jun,19-Jun,1-Jul,13-Jul,,,,,,,,
29,WV,,,17-Apr,6-May,19-May,31-May,14-Jun,3-Jul,23-Jul,12-Aug,,,,,,,,
29,WI,,,16-Apr,3-May,14-May,1-Jun,16-Jun,27-Jun,11-Jul,22-Jul,,,,,,,,
29,WY,,,20-Apr,27-Apr,16-May,31-May,9-Jun,29-Jun,15-Jul,1-Aug,,,,,,,,
30,AL,,,10-Apr,22-Apr,10-May,20-May,5-Jun,18-Jun,5-Jul,16-Jul,,,,,,,,
30,AZ,,,21-Apr,30-Apr,10-May,28-May,8-Jun,18-Jun,26-Jun,3-Jul,,,,,,,,
30,AR,,,12-Apr,27-Apr,9-May,18-May,4-Jun,23-Jun,11-Jul,26-Jul,,,,,,,,
30,CA,,,21-Apr,1-May,13-May,27-May,11-Jun,28-Jun,13-Jul,21-Jul,,,,,,,,
30,CO,,,19-Apr,9-May,17-May,25-May,3-Jun,20-Jun,6-Jul,13-Jul,,,,,,,,
30,CT,,,18-Apr,28-Apr,15-May,31-May,9-Jun,24-Jun,14-Jul,21-Jul,,,,,,,,
30,DE,,,8-Apr,17-Apr,5-May,20-May,5-Jun,22-Jun,4-Jul,14-Jul,,,,,,,,
30,FL,,,11-Apr,21-Apr,7-May,22-May,7-Jun,17-Jun,28-Jun,12-Jul,,,,,,,,
30,GA,,,13-Apr,22-Apr,2-May,11-May,22-May,6-Jun,23-Jun,30-Jun,,,,,,,,
30,ID,,,21-Apr,4-May,15-May,1-Jun,10-Jun,30-Jun,20-Jul,6-Aug,,,,,,,,
30,IL,,,8-Apr,28-Apr,13-May,2-Jun,18-Jun,1-Jul,14-Jul,29-Jul,,,,,,,,
30,IN,,,8-Apr,25-Apr,2-May,9-May,23-May,9-Jun,26-Jun,12-Jul,,,,,,,,
30,IA,,,19-Apr,29-Apr,11-May,24-May,12-Jun,24-Jun,12-Jul,19-Jul,,,,,,,,
30,KS,,,11-Apr,18-Apr,26-Apr,5-May,14-May,21-May,2-Jun,13-Jun,,,,,,,,
30,KY,,,12-Apr,21-Apr,9-May,18-May,28-May,13-Jun,29-Jun,17-Jul,,,,,,,,
30,LA,,,20-Apr,7-May,21-May,28-May,10-Jun,25-Jun,15-Jul,3-Aug,,,,,,,,
30,ME,,,19-Apr,28-Apr,7-May,16-May,23-May,8-Jun,24-Jun,2-Jul,,,,,,,,
30,MD,,,20-Apr,30-Apr,12-May,23-May,5-Jun,24-Jun,14-Jul,28-Jul,,,,,,,,
30,MA,,,9-Apr,26-Apr,10-May,28-May,5-Jun,24-Jun,7-Jul,18-Jul,,,,,,,,
30,MI,,,14-Apr,22-Apr,30-Apr,8-May,22-May,7-Jun,24-Jun,4-Jul,,,,,,,,
30,MN,,,18-Apr,7-May,25-May,14-Jun,1-Jul,19-Jul,26-Jul,7-Aug,,,,,,,,
30,MS,,,17-Apr,6-May,19-May,29-May,10-Jun,21-Jun,5-Jul,16-Jul,,,,,,,,
30,MO,,,8-Apr,28-Apr,10-May,25-May,3-Jun,10-Jun,18-Jun,8-Jul,,,,,,,,
30,MT,,,20-Apr,4-May,22-May,9-Jun,17-Jun,1-Jul,18-Jul,5-Aug,,,,,,,,
30,NE,,,11-Apr,19-Apr,2-May,20-May,5-Jun,15-Jun,1-Jul,8-Jul,,,,,,,,
30,NV,,,18-Apr,2-May,22-May,2-Jun,11-Jun,22-Jun,5-Jul,17-Jul,,,,,,,,
30,NH,,,14-Apr,1-May,9-May,27-May,10-Jun,21-Jun,9-Jul,22-Jul,,,,,,,,
30,NJ,,,19-Apr,3-May,11-May,23-May,31-May,14-Jun,23-Jun,6-Jul,,,,,,,,
30,NM,,,19-Apr,9-May,21-May,9-Jun,21-Jun,6-Jul,24-Jul,10-Aug,,,,,,,,
30,NY,,,9-Apr,25-Apr,10-May,19-May,29-May,10-Jun,24-Jun,5-Jul,,,,,,,,
30,NC,,,14-Apr,30-Apr,11-May,25-May,10-Jun,26-Jun,8-Jul,20-Jul,,,,,,,,
30,ND,,,11-Apr,19-Apr,30-Apr,13-May,29-May,5-Jun,19-Jun,28-Jun,,,,,,,,
30,OH,,,10-Apr,20-Apr,29-Apr,17-May,27-May,12-Jun,21-Jun,30-Jun,,,,,,,,
30,OK,,,19-Apr,8-May,26-May,11-Jun,24-Jun,1-Jul,8-Jul,22-Jul,,,,,,,,
30,OR,,,19-Apr,9-May,18-May,25-May,13-Jun,24-Jun,5-Jul,17-Jul,,,,,,,,
30,PA,,,10-Apr,21-Apr,8-May,26-May,10-Jun,29-Jun,15-Jul,25-Jul,,,,,,,,
30,RI,,,11-Apr,24-Apr,2-May,11-May,21-May,2-Jun,16-Jun,23-Jun,,,,,,,,
30,SC,,,17-Apr,6-May,16-May,23-May,5-Jun,20-Jun,8-Jul,23-Jul,,,,,,,,
30,SD,,,8-Apr,20-Apr,2-May,11-May,24-May,11-Jun,23-Jun,3-Jul,,,,,,,,
30,TN,,,16-Apr,1-May,20-May,8-Jun,21-Jun,1-Jul,10-Jul,25-Jul,,,,,,,,
30,TX,,,18-Apr,27-Apr,8-May,25-May,8-Jun,20-Jun,8-Jul,17-Jul,,,,,,,,
30,UT,,,13-Apr,23-Apr,5-May,22-May,31-May,20-Jun,29-Jun,15-Jul,,,,,,,,
30,VT,,,21-Apr,4-May,16-May,2-Jun,17-Jun,27-Jun,5-Jul,19-Jul,,,,,,,,
30,VA,,,10-Apr,27-Apr,17-May,26-May,13-Jun,20-Jun,8-Jul,21-Jul,,,,,,,,
30,WA,,,11-Apr,30-Apr,17-May,30-May,11-Jun,27-Jun,5-Jul,20-Jul,,,,,,,,
30,WV,,,20-Apr,29-Apr,15-May,4-Jun,14-Jun,25-Jun,15-Jul,29-Jul,,,,,,,,
30,WI,,,15-Apr,2-May,21-May,28-May,4-Jun,21-Jun,29-Jun,16-Jul,,,,,,,,
30,WY,,,11-Apr,18-Apr,6-May,24-May,3-Jun,14-Jun,23-Jun,7-Jul,,,,,,,,
31,AL,,,21-Apr,3-May,18-May,1-Jun,8-Jun,27-Jun,9-Jul,22-Jul,,,,,,,,
31,AZ,,,18-Apr,5-May,18-May,30-May,17-Jun,25-Jun,10-Jul,21-Jul,,,,,,,,
31,AR,,,11-Apr,21-Apr,29-Apr,17-May,28-May,13-Jun,21-Jun,5-Jul,,,,,,,,
31,CA,,,13-Apr,28-Apr,11-May,27-May,16-Jun,29-Jun,14-Jul,26-Jul,,,,,,,,
31,CO,,,13-Apr,20-Apr,4-May,22-May,11-Jun,20-Jun,9-Jul,22-Jul,,,,,,,,
31,CT,,,10-Apr,18-Apr,6-May,21-May,30-May,16-Jun,30-Jun,17-Jul,,,,,,,,
31,DE,,,10-Apr,18-Apr,25-Apr,3-May,22-May,29-May,16-Jun,29-Jun,,,,,,,,
31,FL,,,13-Apr,1-May,18-May,5-Jun,22-Jun,2-Jul,10-Jul,29-Jul,,,,,,,,
31,GA,,,19-Apr,29-Apr,15-May,1-Jun,19-Jun,28-Jun,7-Jul,25-Jul,,,,,,,,
31,ID,,,13-Apr,21-Apr,10-May,25-May,6-Jun,20-Jun,2-Jul,9-Jul,,,,,,,,
31,IL,,,10-Apr,23-Apr,2-May,10-May,21-May,1-Jun,19-Jun,7-Jul,,,,,,,,
31,IN,,,8-Apr,17-Apr,5-May,22-May,8-Jun,22-Jun,6-Jul,19-Jul,,,,,,,,
31,IA,,,12-Apr,2-May,21-May,28-May,10-Jun,26-Jun,6-Jul,13-Jul,,,,,,,,
31,KS,,,16-Apr,26-Apr,14-May,2-Jun,15-Jun,25-Jun,3-Jul,17-Jul,,,,,,,,
31,KY,,,21-Apr,9-May,24-May,1-Jun,21-Jun,29-Jun,12-Jul,29-Jul,,,,,,,,
31,LA,,,16-Apr,3-May,13-May,1-Jun,12-Jun,25-Jun,2-Jul,14-Jul,,,,,,,,
31,ME,,,9-Apr,16-Apr,6-May,25-May,11-Jun,19-Jun,27-Jun,6-Jul,,,,,,,,
31,MD,,,8-Apr,23-Apr,11-May,30-May,8-Jun,15-Jun,25-Jun,5-Jul,,,,,,,,
31,MA,,,21-Apr,4-May,12-May,29-May,16-Jun,29-Jun,18-Jul,28-Jul,,,,,,,,
31,MI,,,10-Apr,24-Apr,14-May,30-May,16-Jun,1-Jul,8-Jul,22-Jul,,,,,,,,
31,MN,,,19-Apr,8-May,22-May,5-Jun,18-Jun,8-Jul,17-Jul,28-Jul,,,,,,,,
31,MS,,,15-Apr,27-Apr,6-May,18-May,26-May,6-Jun,23-Jun,6-Jul,,,,,,,,
31,MO,,,12-Apr,28-Apr,9-May,28-May,7-Jun,23-Jun,2-Jul,22-Jul,,,,,,,,
31,MT,,,15-Apr,29-Apr,8-May,18-May,29-May,7-Jun,15-Jun,22-Jun,,,,,,,,
31,NE,,,14-Apr,22-Apr,1-May,15-May,30-May,9-Jun,26-Jun,9-Jul,,,,,,,,
31,NV,,,19-Apr,7-May,19-May,29-May,18-Jun,7-Jul,21-Jul,28-Jul,,,,,,,,
31,NH,,,12-Apr,26-Apr,12-May,1-Jun,11-Jun,28-Jun,9-Jul,27-Jul,,,,,,,,
31,NJ,,,12-Apr,1-May,10-May,21-May,31-May,16-Jun,2-Jul,19-Jul,,,,,,,,
31,NM,,,21-Apr,1-May,13-May,25-May,4-Jun,14-Jun,28-Jun,14-Jul,,,,,,,,
31,NY,,,16-Apr,5-May,25-May,8-Jun,19-Jun,26-Jun,12-Jul,28-Jul,,,,,,,,
31,NC,,,12-Apr,26-Apr,3-May,12-May,24-May,4-Jun,14-Jun,25-Jun,,,,,,,,
31,ND,,,19-Apr,9-May,24-May,13-Jun,20-Jun,7-Jul,27-Jul,4-Aug,,,,,,,,
31,OH,,,20-Apr,5-May,22-May,7-Jun,23-Jun,6-Jul,13-Jul,23-Jul,,,,,,,,
31,OK,,,19-Apr,2-May,22-May,4-Jun,22-Jun,11-Jul,21-Jul,9-Aug,,,,,,,,
31,OR,,,18-Apr,28-Apr,15-May,30-May,15-Jun,3-Jul,11-Jul,30-Jul,,,,,,,,
31,PA,,,10-Apr,27-Apr,9-May,18-May,5-Jun,19-Jun,1-Jul,17-Jul,,,,,,,,
31,RI,,,16-Apr,6-May,24-May,11-Jun,23-Jun,10-Jul,24-Jul,4-Aug,,,,,,,,
31,SC,,,20-Apr,10-May,18-May,1-Jun,20-Jun,30-Jun,12-Jul,20-Jul,,,,,,,,
31,SD,,,8-Apr,28-Apr,15-May,4-Jun,11-Jun,30-Jun,18-Jul,7-Aug,,,,,,,,
31,TN,,,21-Apr,10-May,26-May,3-Jun,22-Jun,5-Jul,18-Jul,25-Jul,,,,,,,,
31,TX,,,9-Apr,16-Apr,24-Apr,11-May,31-May,15-Jun,22-Jun,7-Jul,,,,,,,,
31,UT,,,21-Apr,11-May,30-May,19-Jun,3-Jul,21-Jul,1-Aug,8-Aug,,,,,,,,
31,VT,,,11-Apr,21-Apr,2-May,17-May,4-Jun,20-Jun,29-Jun,12-Jul,,,,,,,,
31,VA,,,13-Apr,30-Apr,9-May,17-May,26-May,11-Jun,25-Jun,8-Jul,,,,,,,,
31,WA,,,9-Apr,20-Apr,6-May,23-May,2-Jun,9-Jun,27-Jun,12-Jul,,,,,,,,
31,WV,,,9-Apr,25-Apr,10-May,24-May,8-Jun,25-Jun,14-Jul,29-Jul,,,,,,,,
31,WI,,,15-Apr,25-Apr,5-May,13-May,21-May,4-Jun,19-Jun,5-Jul,,,,,,,,
31,WY,,,19-Apr,8-May,28-May,15-Jun,29-Jun,6-Jul,24-Jul,3-Aug,,,,,,,,
32,AL,,,13-Apr,22-Apr,3-May,19-May,29-May,14-Jun,3-Jul,11-Jul,,,,,,,,
32,AZ,,,9-Apr,22-Apr,4-May,15-May,30-May,14-Jun,22-Jun,4-Jul,,,,,,,,
32,AR,,,12-Apr,28-Apr,10-May,25-May,13-Jun,2-Jul,14-Jul,30-Jul,,,,,,,,
32,CA,,,10-Apr,22-Apr,8-May,26-May,4-Jun,18-Jun,26-Jun,5-Jul,,,,,,,,
32,CO,,,20-Apr,8-May,23-May,11-Jun,30-Jun,17-Jul,2-Aug,12-Aug,,,,,,,,
32,CT,,,8-Apr,16-Apr,4-May,17-May,1-Jun,10-Jun,23-Jun,9-Jul,,,,,,,,
32,DE,,,9-Apr,24-Apr,7-May,22-May,3-Jun,11-Jun,30-Jun,15-Jul,,,,,,,,
32,FL,,,20-Apr,28-Apr,7-May,14-May,27-May,7-Jun,20-Jun,29-Jun,,,,,,,,
32,GA,,,19-Apr,4-May,18-May,2-Jun,9-Jun,16-Jun,6-Jul,15-Jul,,,,,,,,
32,ID,,,13-Apr,23-Apr,2-May,15-May,22-May,29-May,16-Jun,23-Jun,,,,,,,,
32,IL,,,21-Apr,9-May,23-May,6-Jun,20-Jun,5-Jul,22-Jul,4-Aug,,,,,,,,
32,IN,,,18-Apr,26-Apr,11-May,19-May,8-Jun,15-Jun,25-Jun,10-Jul,,,,,,,,
32,IA,,,15-Apr,25-Apr,11-May,21-May,29-May,17-Jun,30-Jun,15-Jul,,,,,,,,
32,KS,,,14-Apr,25-Apr,13-May,26-May,8-Jun,21-Jun,4-Jul,11-Jul,,,,,,,,
32,KY,,,9-Apr,21-Apr,7-May,27-May,11-Jun,23-Jun,30-Jun,15-Jul,,,,,,,,
32,LA,,,12-Apr,27-Apr,8-May,22-May,2-Jun,12-Jun,19-Jun,2-Jul,,,,,,,,
32,ME,,,19-Apr,27-Apr,9-May,29-May,10-Jun,17-Jun,5-Jul,13-Jul,,,,,,,,
32,MD,,,21-Apr,8-May,16-May,30-May,16-Jun,24-Jun,8-Jul,20-Jul,,,,,,,,
32,MA,,,14-Apr,23-Apr,9-May,19-May,8-Jun,28-Jun,13-Jul,24-Jul,,,,,,,,
32,MI,,,16-Apr,6-May,20-May,3-Jun,16-Jun,29-Jun,12-Jul,30-Jul,,,,,,,,
32,MN,,,12-Apr,25-Apr,9-May,27-May,4-Jun,12-Jun,27-Jun,4-Jul,,,,,,,,
32,MS,,,11-Apr,28-Apr,16-May,23-May,4-Jun,20-Jun,2-Jul,17-Jul,,,,,,,,
32,MO,,,18-Apr,5-May,23-May,31-May,12-Jun,24-Jun,8-Jul,18-Jul,,,,,,,,
32,MT,,,9-Apr,22-Apr,12-May,25-May,1-Jun,17-Jun,26-Jun,10-Jul,,,,,,,,
32,NE,,,16-Apr,26-Apr,8-May,23-May,4-Jun,11-Jun,29-Jun,17-Jul,,,,,,,,
32,NV,,,8-Apr,20-Apr,27-Apr,13-May,30-May,15-Jun,4-Jul,22-Jul,,,,,,,,
32,NH,,,13-Apr,3-May,21-May,6-Jun,17-Jun,27-Jun,10-Jul,18-Jul,,,,,,,,
32,NJ,,,11-Apr,24-Apr,12-May,28-May,8-Jun,26-Jun,4-Jul,22-Jul,,,,,,,,
32,NM,,,12-Apr,21-Apr,11-May,28-May,9-Jun,25-Jun,2-Jul,18-Jul,,,,,,,,
32,NY,,,18-Apr,25-Apr,13-May,31-May,20-Jun,29-Jun,7-Jul,25-Jul,,,,,,,,
32,NC,,,8-Apr,19-Apr,29-Apr,16-May,26-May,5-Jun,23-Jun,10-Jul,,,,,,,,
32,ND,,,8-Apr,16-Apr,5-May,14-May,22-May,31-May,16-Jun,3-Jul,,,,,,,,
32,OH,,,8-Apr,23-Apr,8-May,24-May,4-Jun,24-Jun,2-Jul,14-Jul,,,,,,,,
32,OK,,,10-Apr,25-Apr,15-May,23-May,10-Jun,17-Jun,4-Jul,19-Jul,,,,,,,,
32,OR,,,20-Apr,28-Apr,11-May,22-May,30-May,16-Jun,27-Jun,14-Jul,,,,,,,,
32,PA,,,13-Apr,30-Apr,15-May,28-May,13-Jun,1-Jul,21-Jul,2-Aug,,,,,,,,
32,RI,,,21-Apr,3-May,21-May,9-Jun,17-Jun,28-Jun,9-Jul,16-Jul,,,,,,,,
32,SC,,,16-Apr,28-Apr,6-May,21-May,7-Jun,14-Jun,24-Jun,2-Jul,,,,,,,,
32,SD,,,14-Apr,3-May,18-May,26-May,8-Jun,27-Jun,10-Jul,19-Jul,,,,,,,,
32,TN,,,11-Apr,20-Apr,4-May,12-May,28-May,16-Jun,6-Jul,26-Jul,,,,,,,,
32,TX,,,21-Apr,1-May,13-May,31-May,8-Jun,22-Jun,4-Jul,15-Jul,,,,,,,,
32,UT,,,9-Apr,25-Apr,10-May,30-May,6-Jun,25-Jun,3-Jul,19-Jul,,,,,,,,
32,VT,,,12-Apr,19-Apr,5-May,20-May,5-Jun,21-Jun,29-Jun,18-Jul,,,,,,,,
32,VA,,,19-Apr,9-May,20-May,27-May,16-Jun,26-Jun,13-Jul,21-Jul,,,,,,,,
32,WA,,,8-Apr,22-Apr,9-May,22-May,10-Jun,23-Jun,3-Jul,20-Jul,,,,,,,,
32,WV,,,20-Apr,3-May,22-May,4-Jun,18-Jun,2-Jul,9-Jul,29-Jul,,,,,,,,
32,WI,,,13-Apr,28-Apr,13-May,21-May,31-May,18-Jun,1-Jul,15-Jul,,,,,,,,
32,WY,,,17-Apr,27-Apr,14-May,21-May,6-Jun,18-Jun,29-Jun,8-Jul,,,,,,,,
33,AL,,,9-Apr,17-Apr,25-Apr,10-May,22-May,5-Jun,16-Jun,24-Jun,,,,,,,,
33,AZ,,,16-Apr,26-Apr,11-May,25-May,11-Jun,21-Jun,2-Jul,21-Jul,,,,,,,,
33,AR,,,19-Apr,9-May,28-May,16-Jun,28-Jun,17-Jul,4-Aug,21-Aug,,,,,,,,
33,CA,,,17-Apr,27-Apr,17-May,25-May,6-Jun,14-Jun,21-Jun,1-Jul,,,,,,,,
33,CO,,,8-Apr,24-Apr,2-May,19-May,4-Jun,22-Jun,5-Jul,21-Jul,,,,,,,,
33,CT,,,15-Apr,29-Apr,10-May,21-May,10-Jun,24-Jun,12-Jul,23-Jul,,,,,,,,
33,DE,,,17-Apr,7-May,23-May,1-Jun,10-Jun,23-Jun,12-Jul,27-Jul,,,,,,,,
33,FL,,,16-Apr,29-Apr,15-May,31-May,20-Jun,4-Jul,16-Jul,31-Jul,,,,,,,,
33,GA,,,20-Apr,10-May,24-May,6-Jun,24-Jun,6-Jul,14-Jul,25-Jul,,,,,,,,
33,ID,,,10-Apr,19-Apr,5-May,24-May,11-Jun,23-Jun,30-Jun,16-Jul,,,,,,,,
33,IL,,,8-Apr,17-Apr,7-May,16-May,29-May,9-Jun,22-Jun,7-Jul,,,,,,,,
33,IN,,,21-Apr,1-May,11-May,28-May,5-Jun,20-Jun,29-Jun,15-Jul,,,,,,,,
33,IA,,,21-Apr,3-May,11-May,28-May,14-Jun,25-Jun,11-Jul,20-Jul,,,,,,,,
33,KS,,,13-Apr,27-Apr,15-May,22-May,8-Jun,25-Jun,4-Jul,12-Jul,,,,,,,,
33,KY,,,21-Apr,6-May,14-May,1-Jun,19-Jun,1-Jul,8-Jul,16-Jul,,,,,,,,
33,LA,,,13-Apr,27-Apr,4-May,23-May,3-Jun,17-Jun,7-Jul,17-Jul,,,,,,,,
33,ME,,,17-Apr,5-May,22-May,2-Jun,14-Jun,3-Jul,21-Jul,3-Aug,,,,,,,,
33,MD,,,13-Apr,21-Apr,2-May,13-May,23-May,7-Jun,22-Jun,12-Jul,,,,,,,,
33,MA,,,16-Apr,27-Apr,9-May,17-May,6-Jun,17-Jun,3-Jul,13-Jul,,,,,,,,
33,MI,,,18-Apr,3-May,22-May,4-Jun,15-Jun,24-Jun,4-Jul,12-Jul,,,,,,,,
33,MN,,,19-Apr,4-May,16-May,31-May,16-Jun,23-Jun,1-Jul,15-Jul,,,,,,,,
33,MS,,,19-Apr,29-Apr,7-May,26-May,2-Jun,18-Jun,3-Jul,22-Jul,,,,,,,,
33,MO,,,15-Apr,5-May,20-May,3-Jun,18-Jun,2-Jul,19-Jul,5-Aug,,,,,,,,
33,MT,,,9-Apr,27-Apr,10-May,22-May,8-Jun,25-Jun,12-Jul,28-Jul,,,,,,,,
33,NE,,,15-Apr,5-May,16-May,2-Jun,12-Jun,1-Jul,12-Jul,20-Jul,,,,,,,,
33,NV,,,13-Apr,23-Apr,8-May,16-May,1-Jun,9-Jun,28-Jun,9-Jul,,,,,,,,
33,NH,,,12-Apr,30-Apr,18-May,2-Jun,15-Jun,25-Jun,15-Jul,4-Aug,,,,,,,,
33,NJ,,,19-Apr,26-Apr,5-May,21-May,7-Jun,17-Jun,2-Jul,17-Jul,,,,,,,,
33,NM,,,15-Apr,26-Apr,3-May,11-May,26-May,12-Jun,25-Jun,12-Jul,,,,,,,,
33,NY,,,14-Apr,25-Apr,8-May,17-May,28-May,10-Jun,23-Jun,1-Jul,,,,,,,,
33,NC,,,17-Apr,30-Apr,11-May,28-May,11-Jun,24-Jun,1-Jul,21-Jul,,,,,,,,
33,ND,,,15-Apr,26-Apr,14-May,24-May,2-Jun,16-Jun,26-Jun,9-Jul,,,,,,,,
33,OH,,,21-Apr,1-May,20-May,7-Jun,19-Jun,27-Jun,11-Jul,18-Jul,,,,,,,,
33,OK,,,12-Apr,29-Apr,12-May,29-May,11-Jun,22-Jun,12-Jul,22-Jul,,,,,,,,
33,OR,,,16-Apr,29-Apr,13-May,2-Jun,19-Jun,9-Jul,18-Jul,5-Aug,,,,,,,,
33,PA,,,12-Apr,21-Apr,10-May,18-May,1-Jun,9-Jun,28-Jun,15-Jul,,,,,,,,
33,RI,,,18-Apr,29-Apr,19-May,5-Jun,17-Jun,29-Jun,14-Jul,31-Jul,,,,,,,,
33,SC,,,12-Apr,2-May,9-May,26-May,14-Jun,4-Jul,19-Jul,3-Aug,,,,,,,,
33,SD,,,16-Apr,5-May,25-May,7-Jun,26-Jun,12-Jul,25-Jul,6-Aug,,,,,,,,
33,TN,,,9-Apr,19-Apr,6-May,18-May,28-May,8-Jun,18-Jun,2-Jul,,,,,,,,
33,TX,,,13-Apr,29-Apr,13-May,2-Jun,17-Jun,7-Jul,18-Jul,3-Aug,,,,,,,,
33,UT,,,14-Apr,22-Apr,2-May,20-May,28-May,16-Jun,29-Jun,7-Jul,,,,,,,,
33,VT,,,18-Apr,8-May,17-May,4-Jun,13-Jun,25-Jun,3-Jul,10-Jul,,,,,,,,
33,VA,,,17-Apr,5-May,25-May,13-Jun,27-Jun,13-Jul,25-Jul,4-Aug,,,,,,,,
33,WA,,,8-Apr,22-Apr,7-May,18-May,6-Jun,21-Jun,11-Jul,20-Jul,,,,,,,,
33,WV,,,11-Apr,28-Apr,17-May,31-May,12-Jun,25-Jun,15-Jul,30-Jul,,,,,,,,
33,WI,,,15-Apr,24-Apr,4-May,22-May,2-Jun,22-Jun,3-Jul,22-Jul,,,,,,,,
33,WY,,,16-Apr,2-May,16-May,31-May,17-Jun,6-Jul,23-Jul,4-Aug,,,,,,,,
34,AL,,,17-Apr,6-May,22-May,6-Jun,13-Jun,26-Jun,3-Jul,15-Jul,,,,,,,,
34,AZ,,,18-Apr,27-Apr,10-May,26-May,4-Jun,21-Jun,11-Jul,20-Jul,,,,,,,,
34,AR,,,10-Apr,30-Apr,12-May,31-May,7-Jun,18-Jun,7-Jul,15-Jul,,,,,,,,
34,CA,,,9-Apr,23-Apr,3-May,13-May,25-May,2-Jun,10-Jun,25-Jun,,,,,,,,
34,CO,,,9-Apr,18-Apr,2-May,16-May,27-May,5-Jun,25-Jun,8-Jul,,,,,,,,
34,CT,,,18-Apr,28-Apr,9-May,27-May,9-Jun,25-Jun,14-Jul,25-Jul,,,,,,,,
34,DE,,,18-Apr,26-Apr,16-May,24-May,12-Jun,29-Jun,8-Jul,18-Jul,,,,,,,,
34,FL,,,9-Apr,25-Apr,13-May,31-May,12-Jun,23-Jun,3-Jul,14-Jul,,,,,,,,
34,GA,,,16-Apr,5-May,13-May,26-May,13-Jun,30-Jun,10-Jul,27-Jul,,,,,,,,
34,ID,,,8-Apr,19-Apr,8-May,28-May,12-Jun,22-Jun,8-Jul,19-Jul,,,,,,,,
34,IL,,,8-Apr,16-Apr,24-Apr,13-May,28-May,4-Jun,17-Jun,28-Jun,,,,,,,,
34,IN,,,21-Apr,30-Apr,12-May,27-May,5-Jun,21-Jun,1-Jul,14-Jul,,,,,,,,
34,IA,,,19-Apr,26-Apr,7-May,21-May,28-May,6-Jun,26-Jun,5-Jul,,,,,,,,
34,KS,,,20-Apr,3-May,17-May,3-Jun,11-Jun,25-Jun,14-Jul,29-Jul,,,,,,,,
34,KY,,,20-Apr,7-May,27-May,10-Jun,27-Jun,15-Jul,2-Aug,13-Aug,,,,,,,,
34,LA,,,12-Apr,26-Apr,9-May,26-May,14-Jun,27-Jun,11-Jul,24-Jul,,,,,,,,
34,ME,,,14-Apr,29-Apr,17-May,29-May,13-Jun,22-Jun,4-Jul,22-Jul,,,,,,,,
34,MD,,,18-Apr,26-Apr,8-May,21-May,1-Jun,10-Jun,22-Jun,3-Jul,,,,,,,,
34,MA,,,9-Apr,20-Apr,8-May,16-May,25-May,8-Jun,22-Jun,11-Jul,,,,,,,,
34,MI,,,16-Apr,29-Apr,19-May,26-May,15-Jun,23-Jun,9-Jul,21-Jul,,,,,,,,
34,MN,,,9-Apr,17-Apr,6-May,20-May,6-Jun,17-Jun,5-Jul,16-Jul,,,,,,,,
34,MS,,,11-Apr,29-Apr,14-May,31-May,9-Jun,29-Jun,8-Jul,15-Jul,,,,,,,,
34,MO,,,17-Apr,28-Apr,7-May,24-May,10-Jun,30-Jun,11-Jul,29-Jul,,,,,,,,
34,MT,,,12-Apr,27-Apr,15-May,30-May,11-Jun,30-Jun,8-Jul,23-Jul,,,,,,,,
34,NE,,,15-Apr,2-May,17-May,4-Jun,22-Jun,1-Jul,15-Jul,29-Jul,,,,,,,,
34,NV,,,11-Apr,28-Apr,5-May,12-May,31-May,16-Jun,29-Jun,7-Jul,,,,,,,,
34,NH,,,15-Apr,23-Apr,4-May,24-May,10-Jun,29-Jun,7-Jul,21-Jul,,,,,,,,
34,NJ,,,10-Apr,25-Apr,5-May,17-May,6-Jun,16-Jun,26-Jun,9-Jul,,,,,,,,
34,NM,,,12-Apr,24-Apr,6-May,13-May,26-May,7-Jun,22-Jun,4-Jul,,,,,,,,
